,skewness_전,skewness_후,mean_후,std_후,변환방식,skewness_개선
도로안전표지,0.5477693830574996,0.5477693830575,6.254777603522009e-17,1.0035398340781296,Standard,-0.0
도로적색표면,0.7950901609206227,0.7950901609206231,-1.3760510727748418e-16,1.0035398340781299,Standard,-0.0
무단횡단방지펜스,0.3806710778048327,0.3806710778048325,5.003822082817607e-17,1.00353983407813,Standard,0.0
무인교통단속카메라,1.4381404291905733,-0.040555233892092896,-3.3775799059018846e-16,1.0035398340781299,Log+Standard,1.398
보호구역표지판,2.0032063429932547,-0.8504703533202724,2.5019110414088035e-17,1.0035398340781299,Log+Standard,1.153
생활안전CCTV,1.4107505608016124,-0.13731384636631436,6.755159811803769e-16,1.0035398340781299,Log+Standard,1.273
신호등,0.6435674293463081,0.643567429346308,1.0007644165635214e-16,1.0035398340781299,Standard,0.0
옐로카펫,1.0067535665574283,-0.15743079068613128,-1.501146624845282e-16,1.0035398340781299,Log+Standard,0.849
횡단보도,0.18313050927104127,0.18313050927104157,3.752866562113205e-17,1.0035398340781296,Standard,-0.0
어린이 비율(%),0.1993901695150505,0.1993901695150485,7.13044646801509e-16,1.0035398340781296,Standard,0.0
