행정구역,행정코드,구명,동명,2025년_계_총인구수,2025년_계_0~4세,2025년_계_5~9세,2025년_계_10~14세,2025년_계_15~19세,2025년_남_총인구수,2025년_남_0~4세,2025년_남_5~9세,2025년_남_10~14세,2025년_남_15~19세,2025년_여_총인구수,2025년_여_0~4세,2025년_여_5~9세,2025년_여_10~14세,2025년_여_15~19세,어린이_인구_0_14,어린이_비율
경기도 성남시 분당구 분당동(4113551000),4113551000,분당구,분당동,24396,533,807,1282,1441,11993,274,424,637,771,12403,259,383,645,670,2622,10.75
경기도 성남시 분당구 수내1동(4113552000),4113552000,분당구,수내1동,17879,284,738,1214,1068,8526,167,370,631,540,9353,117,368,583,528,2236,12.51
경기도 성남시 분당구 수내2동(4113553000),4113553000,분당구,수내2동,10381,172,755,1125,854,5099,99,385,555,430,5282,73,370,570,424,2052,19.77
경기도 성남시 분당구 수내3동(4113554000),4113554000,분당구,수내3동,13191,171,575,1118,1096,6536,80,275,557,578,6655,91,300,561,518,1864,14.13
경기도 성남시 분당구 정자동(4113554500),4113554500,분당구,정자동,13750,278,437,647,695,6979,143,216,332,349,6771,135,221,315,346,1362,9.91
경기도 성남시 분당구 정자1동(4113555000),4113555000,분당구,정자1동,30247,527,1066,1730,1663,14353,267,524,882,811,15894,260,542,848,852,3323,10.99
경기도 성남시 분당구 정자2동(4113556000),4113556000,분당구,정자2동,14183,316,339,550,610,6735,144,176,303,334,7448,172,163,247,276,1205,8.5
경기도 성남시 분당구 정자3동(4113557000),4113557000,분당구,정자3동,16467,434,659,923,995,7923,208,327,471,492,8544,226,332,452,503,2016,12.24
경기도 성남시 분당구 서현1동(4113558000),4113558000,분당구,서현1동,30649,613,1118,1962,1985,14870,328,598,1006,963,15779,285,520,956,1022,3693,12.05
경기도 성남시 분당구 서현2동(4113559000),4113559000,분당구,서현2동,17273,396,618,980,1046,8505,224,310,516,552,8768,172,308,464,494,1994,11.54
경기도 성남시 분당구 이매1동(4113560000),4113560000,분당구,이매1동,24537,737,977,1389,1439,11967,380,511,736,725,12570,357,466,653,714,3103,12.65
경기도 성남시 분당구 이매2동(4113561000),4113561000,분당구,이매2동,12796,284,495,798,882,6270,166,248,425,448,6526,118,247,373,434,1577,12.32
경기도 성남시 분당구 야탑1동(4113562000),4113562000,분당구,야탑1동,16525,462,529,590,564,8144,245,258,296,295,8381,217,271,294,269,1581,9.57
경기도 성남시 분당구 야탑2동(4113563000),4113563000,분당구,야탑2동,15564,336,618,808,844,7394,174,319,393,413,8170,162,299,415,431,1762,11.32
경기도 성남시 분당구 야탑3동(4113564000),4113564000,분당구,야탑3동,26618,918,675,816,933,13105,450,352,430,462,13513,468,323,386,471,2409,9.05
경기도 성남시 분당구 판교동(4113565000),4113565000,분당구,판교동,26365,1085,1499,2016,1754,12915,587,768,1031,899,13450,498,731,985,855,4600,17.45
경기도 성남시 분당구 삼평동(4113565500),4113565500,분당구,삼평동,23593,923,1095,1366,1369,11449,471,548,712,673,12144,452,547,654,696,3384,14.34
경기도 성남시 분당구 백현동(4113565700),4113565700,분당구,백현동,26316,731,937,1551,1380,12538,366,488,835,698,13778,365,449,716,682,3219,12.23
경기도 성남시 분당구 금곡동(4113566200),4113566200,분당구,금곡동,26767,673,828,1002,1103,12591,376,423,504,558,14176,297,405,498,545,2503,9.35
경기도 성남시 분당구 구미1동(4113566500),4113566500,분당구,구미1동,16089,471,459,666,768,7762,252,227,359,360,8327,219,232,307,408,1596,9.92
경기도 성남시 분당구 구미동(4113567000),4113567000,분당구,구미동,27981,656,780,1145,1091,13227,330,378,582,558,14754,326,402,563,533,2581,9.22
경기도 성남시 분당구 운중동(4113568000),4113568000,분당구,운중동,38266,2013,2153,2153,1902,18626,1034,1086,1091,962,19640,979,1067,1062,940,6319,16.51
